Variable,Source,Country,Country_Code,Available,Earliest_Year,Latest_Year,Number_of_Years,Missing_Percentage,Definition,Notes
Manufacturing value added,UNIDO,South Korea,KOR,,,,,,,UNIDO API/data portal identified. Exact indicator extraction required.
Manufacturing value added,UNIDO,Taiwan,TWN,,,,,,,UNIDO API/data portal identified. Exact indicator extraction required.
Manufacturing value added,UNIDO,Israel,ISR,,,,,,,UNIDO API/data portal identified. Exact indicator extraction required.
Manufacturing value added,UNIDO,Brazil,BRA,,,,,,,UNIDO API/data portal identified. Exact indicator extraction required.
Venture capital proxy,OECD / alternative source,India,IND,,,,,,,No single replacement indicator selected yet. Must verify a comparable cross-country proxy before using it in the research dataset.
Venture capital proxy,OECD / alternative source,China,CHN,,,,,,,No single replacement indicator selected yet. Must verify a comparable cross-country proxy before using it in the research dataset.
Venture capital proxy,OECD / alternative source,South Korea,KOR,,,,,,,No single replacement indicator selected yet. Must verify a comparable cross-country proxy before using it in the research dataset.
Venture capital proxy,OECD / alternative source,Taiwan,TWN,,,,,,,No single replacement indicator selected yet. Must verify a comparable cross-country proxy before using it in the research dataset.
Venture capital proxy,OECD / alternative source,Israel,ISR,,,,,,,No single replacement indicator selected yet. Must verify a comparable cross-country proxy before using it in the research dataset.
Venture capital proxy,OECD / alternative source,Brazil,BRA,,,,,,,No single replacement indicator selected yet. Must verify a comparable cross-country proxy before using it in the research dataset.
